Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P5.00mm,2,10uF,
"C10, C11, C12, C5, C6, C7, C8, C9",0603,8,0.33uF,
"C13, C14, C15, C16, C17, C18, C19, C20",0402,8,0.1uF,
C3,1206,1,10uF,
C4,0805,1,22uF,
D1,0603,1,LED,
"D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,
J1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
R1,0603,1,10k,
"R2, R3, R4, R5, R6, R7, R8, R9",0603,8,39k,
"U1, U2, U3, U4, U5, U6, U7, U8",Vishay_MINICAST-3Pin,8,TSSP58038,
U9,SOT-223-3_TabPin2,1,AZ1117-3.3,
