Designator,Mid X,Mid Y,Rotation,Layer
C1,5.0,15.999951,90.0,bottom
C10,-2.5,22.5,180.0,bottom
C11,14.0,17.5,225.0,bottom
C12,21.5,5.275,270.0,bottom
C13,13.1837,-21.4435,293.0,top
C14,24.9435,-5.6837,338.0,top
C15,21.4435,13.1837,23.0,top
C16,5.8163,25.0,68.0,top
C17,-13.3163,21.5565,113.0,top
C18,-24.9435,5.6837,158.0,top
C19,-21.5565,-13.3163,203.0,top
C2,-5.0,15.999951,90.0,bottom
C20,-5.6837,-24.9435,248.0,top
C3,13.0,4.0,270.0,top
C4,4.0,9.0,0.0,top
C5,17.5,-14.0,315.0,bottom
C6,2.5,-22.5,0.0,bottom
C7,-14.0,-17.5,45.0,bottom
C8,-21.5,-5.0,90.0,bottom
C9,-17.5,14.0,135.0,bottom
D1,3.0,16.0,180.0,top
D2,9.5671,-23.097,23.0,top
D3,23.097,-9.5671,68.0,top
D4,23.097,9.5671,113.0,top
D5,9.5671,23.097,158.0,top
D6,-9.5671,23.097,203.0,top
D7,-23.097,9.5671,248.0,top
D8,-23.097,-9.5671,293.0,top
D9,-9.5671,-23.097,338.0,top
J1,11.0,6.0,0.0,bottom
J2,-5.0,5.7525,90.0,bottom
R1,-3.0,16.0,0.0,top
R2,21.0,-13.0,45.0,bottom
R3,6.0,-24.175,90.0,bottom
R4,-12.9166,-20.9166,135.0,bottom
R5,-24.175,-6.0,180.0,bottom
R6,-21.0,12.9166,225.0,bottom
R7,-6.0,24.175,270.0,bottom
R8,13.0,21.0,315.0,bottom
R9,24.175,6.0,0.0,bottom
U1,18.402433,-18.402435,315.0,bottom
U2,0.0,-26.025,0.0,bottom
U3,-18.402436,-18.402433,45.0,bottom
U4,-26.025,0.0,90.0,bottom
U5,-18.402434,18.402436,135.0,bottom
U6,0.0,26.025,180.0,bottom
U7,18.402435,18.402434,225.0,bottom
U8,26.025,0.0,270.0,bottom
U9,6.0,4.0,0.0,top
