Designator,Mid X,Mid Y,Rotation,Layer
C1,-18.0,-12.775,90.0,top
C10,3.000033,-20.500046,135.0,top
C11,-21.0,10.0,270.0,top
C12,3.0,-14.0,0.0,top
C13,-3.0,-14.0,180.0,top
C14,13.000033,-15.000046,135.0,top
C2,-7.0,-11.5,90.0,top
C3,-8.5,0.0,90.0,top
C4,-6.5,0.0,90.0,top
C5,7.0,0.0,270.0,top
C6,-5.5,17.5,270.0,top
C7,0.0,-7.0,0.0,top
C8,-17.5,-5.5,0.0,top
C9,17.5,5.0,180.0,top
D1,0.0,45.0,0.0,bottom
D10,0.0,-45.0,180.0,bottom
D11,15.390908,-42.286124,160.0,bottom
D12,28.925407,-34.472045,140.0,bottom
D13,38.9711,-22.500018,120.0,bottom
D14,44.316301,-7.81417,100.0,bottom
D15,44.316398,7.81413,80.0,bottom
D16,38.9711,22.499982,60.0,bottom
D17,28.925393,34.471955,40.0,bottom
D18,15.390892,42.286176,20.0,bottom
D19,7.5,11.0,90.0,top
D2,-15.390908,42.286124,340.0,bottom
D20,4.5,11.0,90.0,top
D21,1.5,11.0,90.0,top
D22,-1.5,11.0,90.0,top
D23,-4.5,11.0,90.0,top
D24,-7.5,11.0,90.0,top
D25,-11.0,7.5,180.0,top
D26,-11.0,4.5,180.0,top
D27,-11.0,1.5,180.0,top
D28,-11.0,-1.5,180.0,top
D29,-11.0,-4.5,180.0,top
D3,-28.925407,34.472046,320.0,bottom
D30,-11.0,-7.5,180.0,top
D31,11.0,-7.5,0.0,top
D32,11.0,-4.5,0.0,top
D33,11.0,-1.5,0.0,top
D34,11.0,1.5,0.0,top
D35,11.0,4.5,0.0,top
D36,11.0,7.5,0.0,top
D37,-23.0,-7.5,0.0,top
D38,21.5,10.0,180.0,top
D4,-38.9711,22.500018,300.0,bottom
D5,-44.316302,7.814171,280.0,bottom
D6,-44.316299,-7.814129,260.0,bottom
D7,-38.9711,-22.499982,240.0,bottom
D8,-28.925393,-34.471954,220.0,bottom
D9,-15.390892,-42.286176,200.0,bottom
IC1,0.0,20.0,180.0,top
IC2,-20.0,0.0,270.0,top
IC3,20.0,0.0,90.0,top
J1,12.5,17.5,270.0,top
J2,-10.0,-18.5,90.0,top
Q1,-7.81413,44.316399,350.0,bottom
