Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C25, C6",0603,3,4.7uF,
"C10, C12, C15, C16, C17, C18, C19, C20, C21, C24, C28, C29, C31, C33, C4, C5, C7, C8, C9",0402,19,0.1uF,
C11,0603,1,1uF,
"C13, C14",CP_Radial_D10.0mm_P5.00mm,2,120uF,
C2,0603,1,10uF,
"C22, C23, C30, C32",0402,4,10pF,
C3,0603,1,22uF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",0603,14,LED,
F1,0402,1,350mA,
FB1,0603,1,FerriteBead,
IC1,Seed_XIAO_ESP32C3,1,Seed_XIAO_ESP32C3,
J1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,PWR_IN,
J11,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,Ball,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,MotorDriver,
J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Line,
J5,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Camera,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Speaker,
J7,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Catch,
J8,PinHeader_1x05_P2.54mm_Horizontal,1,ST-LINK,
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
Q1,SOT-23,1,MMBT3904,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R26, R27, R3, R31, R5, R6, R7, R8, R9",0603,26,10k,
"R25, R33",0603,2,100,
"R28, R29",0603,2,5.1k,
R30,0603,1,1.5k,
R32,0603,1,39k,
"R34, R35",0603,2,4.7k,
"R36, R37",0603,2,1k,
"SW2, SW3, SW4, SW5, SW6",SW_PUSH_6mm,5,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,SOT-223,1,AZ1117CH-3_3TRG1,AZ1117CH-3.3TRG1
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
U4,DFPlayerMini,1,~,
U5,SSD1306,1,~,
U6,BMX055DIP,1,~,
"Y1, Y2",Crystal_HC49-4H_Vertical,2,8MHz,
