Designator,Mid X,Mid Y,Rotation,Layer
C1,84.0,-28.0,90.0,top
C10,68.5,-24.0,0.0,top
C11,76.0,-41.0,270.0,top
C12,74.0,-39.5,180.0,top
C13,31.0,-23.000023,90.0,top
C14,20.0,-23.000023,90.0,top
C15,63.5,-34.5,90.0,top
C16,33.5,-49.0,270.0,top
C17,50.0,-55.5,0.0,top
C18,34.5,-61.0,90.0,bottom
C19,34.5,-53.0,90.0,bottom
C2,36.0,-32.0,270.0,top
C20,65.5,-61.5,90.0,bottom
C21,65.5,-53.5,90.0,bottom
C22,75.0,-52.0,270.0,top
C23,70.0,-52.0,270.0,top
C24,20.5,-51.5,180.0,top
C25,30.5,-42.5,270.0,top
C28,29.98,-45.0,180.0,top
C29,26.5,-45.0,0.0,top
C3,30.0,-36.5,0.0,top
C30,37.5,-44.0,180.0,bottom
C31,21.0,-53.5,90.0,top
C32,37.5,-39.0,180.0,bottom
C33,31.5,-55.5,0.0,top
C4,74.5,-41.5,270.0,top
C5,78.0,-38.0,90.0,top
C6,63.5,-39.0,90.0,top
C7,65.0,-39.5,90.0,top
C8,80.5,-35.5,270.0,top
C9,80.5,-28.5,270.0,top
D1,43.5,-17.0,180.0,top
D10,86.0,-34.5,90.0,top
D11,70.0,-62.0,90.0,top
D12,75.0,-62.0,90.0,top
D13,8.5,-55.5,270.0,top
D14,6.5,-55.5,90.0,top
D2,18.0,-29.5,180.0,top
D3,14.0,-11.5,90.0,top
D4,14.0,-15.5,270.0,top
D5,86.0,-22.5,270.0,top
D6,86.0,-18.5,90.0,top
D7,22.5,-31.5,90.0,top
D8,22.5,-37.5,270.0,top
D9,90.0,-34.5,90.0,top
F1,22.0,-57.0,90.0,top
FB1,78.0,-41.0,270.0,top
IC1,10.245,-40.2675,90.0,top
J1,6.55,-24.5,270.0,top
J11,6.995,-52.0,90.0,top
J2,32.0,-5.7875,90.0,top
J3,53.5,-5.7875,90.0,top
J4,6.55,-11.25,270.0,top
J5,93.45,-22.75,90.0,top
J6,95.25,-33.525,0.0,top
J7,93.45,-9.5,90.0,top
J8,71.995,-6.625,90.0,top
J9,19.0,-63.0,0.0,top
Q1,28.5,-62.0,90.0,top
R1,40.0,-17.0,0.0,top
R10,24.5,-31.5,90.0,top
R11,24.5,-37.5,90.0,top
R12,88.0,-34.5,90.0,top
R13,84.0,-34.5,90.0,top
R14,47.0,-55.0,0.0,top
R15,34.23,-64.0,90.0,bottom
R16,34.23,-56.0,90.0,bottom
R17,66.0,-58.5,270.0,bottom
R18,70.0,-58.5,270.0,top
R19,75.0,-58.5,270.0,top
R2,50.0,-22.0,0.0,top
R20,86.0,-28.0,90.0,top
R21,66.0,-50.5,270.0,bottom
R22,64.0,-22.0,90.0,top
R23,33.5,-52.0,270.0,top
R24,26.5,-42.5,90.0,top
R25,25.5,-58.0,270.0,top
R26,20.0,-50.0,0.0,top
R27,28.5,-42.5,90.0,top
R28,16.0,-56.5,270.0,top
R29,19.5,-56.5,270.0,top
R3,53.0,-20.0,0.0,top
R30,27.5,-58.0,90.0,top
R31,29.5,-58.0,270.0,top
R32,31.5,-58.0,90.0,top
R33,33.5,-58.0,90.0,top
R34,24.5,-42.5,270.0,top
R35,22.5,-42.5,90.0,top
R36,11.5,-55.5,270.0,top
R37,3.5,-55.5,90.0,top
R5,14.5,-29.5,0.0,top
R6,16.0,-11.5,90.0,top
R7,16.0,-15.5,270.0,top
R8,84.0,-22.5,270.0,top
R9,84.0,-18.5,90.0,top
SW2,50.0,-60.0,0.0,top
SW3,40.0,-61.0,0.0,top
SW4,40.0,-53.0,0.0,top
SW5,60.0,-61.0,0.0,top
SW6,60.0,-53.0,0.0,top
U1,72.0,-32.0,0.0,top
U2,30.5,-32.0,0.0,top
U3,27.0,-51.0,180.0,top
U4,89.0,-47.5,90.0,top
U5,50.0,-36.0,0.0,top
U6,72.0,-18.0,90.0,top
Y1,69.0,-46.0,180.0,top
Y2,34.5,-41.5,90.0,top
