Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
"C10, C11, C12, C13, C9",0402,5,0.1uF,
C2,0603,1,22uF,
C3,CP_Radial_D8.0mm_P5.00mm,1,10uF,
D1,0603,1,LED,
"IC1, IC2, IC3, IC4, IC5",SOIC127P600X175-9N,5,"TB67H450FNG,EL",
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWR_IN,
"J2, J3, J4, J5",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn_01x02,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J7,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
R1,0603,1,10k,
U1,SOT-223-3_TabPin2,1,AZ1117-3.3,
