Designator,Mid X,Mid Y,Rotation,Layer
C1,-48.0,-18.0,90.0,top
C10,-35.0,2.52,270.0,top
C11,-35.0,-3.48,270.0,top
C12,-35.0,-10.48,270.0,top
C13,-35.0,-16.48,270.0,top
C2,-36.25,-18.75,270.0,top
C3,-42.0,-10.0,180.0,top
C9,-35.0,9.52,270.0,top
D1,-52.0,-16.2125,90.0,top
IC1,-29.0,12.465,0.0,top
IC2,-29.0,5.915,0.0,top
IC3,-29.0,-0.635,0.0,top
IC4,-29.0,-7.185,0.0,top
IC5,-29.0,-13.735,0.0,top
J1,-37.0,-27.0,180.0,top
J2,-16.0,17.0,90.0,top
J3,-16.0,6.0,90.0,top
J4,-16.0,-6.0,90.0,top
J5,-16.0,-17.0,90.0,top
J6,-21.255115,-27.512652,225.0,top
J7,-34.0,22.0,270.0,top
R1,-52.0,-12.0,270.0,top
U1,-42.0,-18.0,180.0,top
