Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,10uF,
C3,0603,1,22uF,
"C4, C5",CP_Radial_D22.0mm_P10.00mm_SnapIn,2,2200uF,
"D1, D6",0603,2,LED,
"D2, D7",D_SOD-123,2,D,
D4,D_SMC,1,D_Shockley,
F1,Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal,1,15A,
IC1,AZ1084CD50TRG1,1,AZ1084CD-5.0TRG1,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWR_IN,
J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Motor,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Main,
J4,PinHeader_1x02_P2.00mm_Vertical,1,monitor,
J5,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BALL,
"Q1, Q2",TO-252-2,2,Q_PMOS_GSD,
"R1, R11, R13, R3, R7",0603,5,10k,
"R12, R8",0603,2,20k,
"R2, R6",0603,2,100,
R4,0603,1,180,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
U1,LM2596,1,~,
U2,DIP-4_W7.62mm,1,TLP785,
