Designator,Mid X,Mid Y,Rotation,Layer
C2,13.5,-13.0,90.0,top
C3,13.5,-10.0,270.0,top
C4,36.0,12.000001,0.0,top
C5,36.0,-12.0,0.0,top
D1,0.0,8.5,270.0,top
D2,13.5,14.0,90.0,top
D4,19.0,23.0,0.0,top
D6,0.0,-8.5,270.0,top
D7,34.5,25.5,45.0,top
F1,5.0,5.0,90.0,top
IC1,19.0,-11.8,0.0,top
J1,16.772613,-25.70953,225.0,top
J2,30.5,-26.5,315.0,top
J3,51.25,-4.25,90.0,top
J4,20.0,-33.5,90.0,top
J5,29.5,27.5,45.0,top
J6,51.25,5.75,90.0,top
Q1,20.0,1.5,90.0,top
Q2,18.4975,10.96,270.0,top
R1,15.5,1.5,90.0,top
R11,0.0,-5.0,270.0,top
R12,-2.0,-5.0,90.0,top
R13,-2.0,-8.5,270.0,top
R2,15.5,-2.0,270.0,top
R3,0.0,5.0,90.0,top
R4,6.5,25.0,180.0,top
R6,23.5,14.0,270.0,top
R7,23.0,18.0,90.0,top
R8,18.5,18.5,0.0,top
SW1,0.0,-19.0,0.0,top
U1,19.0,1.0,90.0,bottom
U2,12.0,29.0,45.0,top
